NoOfCpus,Memory,IoRateLimits(mb/sec),FileSize,IoSize,NoOfThreads,ThreadMemory,ResponseTime(msec/op),Throughput(op/sec)
4,1g,439mb,1g,95k,39,200k,22.919,1582.123
4,1g,439mb,1g,95k,39,9m,24.520,1514.417
4,1g,439mb,1g,95k,64,200k,35.750,1574.960
4,1g,439mb,1g,95k,64,9m,36.711,1581.949
4,1g,439mb,1g,95k,88,200k,49.446,1573.038
4,1g,439mb,1g,95k,88,9m,49.507,1523.108
4,1g,439mb,1g,132k,14,200k,11.658,1158.379
4,1g,439mb,1g,132k,14,9m,11.854,1160.607
4,1g,439mb,1g,132k,39,200k,31.059,1161.609
4,1g,439mb,1g,132k,39,9m,32.280,1128.552
4,1g,439mb,1g,132k,64,200k,44.620,1178.640
4,1g,439mb,1g,132k,64,9m,41.644,1184.853
4,1g,439mb,1g,132k,88,200k,64.440,1196.119
4,1g,439mb,1g,132k,88,9m,68.004,1148.403
4,1g,72mb,10m,20k,14,200k,3.951,3541.413
4,1g,72mb,10m,20k,14,9m,3.871,3610.716
4,1g,72mb,10m,20k,39,200k,10.743,3627.353
4,1g,72mb,10m,20k,39,9m,10.581,3680.693
4,1g,72mb,10m,20k,64,200k,17.763,3598.430
4,1g,72mb,10m,20k,64,9m,17.670,3613.628
4,1g,72mb,10m,20k,88,200k,23.876,3680.841
4,1g,72mb,10m,20k,88,9m,24.316,3609.061
4,1g,72mb,10m,58k,14,200k,10.700,1269.201
4,1g,72mb,10m,58k,14,9m,10.896,1270.825
4,1g,72mb,10m,58k,39,200k,30.397,1268.911
4,1g,72mb,10m,58k,39,9m,29.574,1252.612
4,1g,72mb,10m,58k,64,200k,48.356,1270.343
4,1g,72mb,10m,58k,64,9m,48.541,1270.123
4,1g,72mb,10m,58k,88,200k,56.538,1270.442
4,1g,72mb,10m,58k,88,9m,59.454,1271.045
4,1g,72mb,10m,95k,14,200k,17.688,774.998
4,1g,72mb,10m,95k,14,9m,17.280,776.039
4,1g,72mb,10m,95k,39,200k,46.768,775.410
4,1g,72mb,10m,95k,39,9m,43.386,775.796
4,1g,72mb,10m,95k,64,200k,66.554,775.800
4,1g,72mb,10m,95k,64,9m,69.049,776.112
4,1g,72mb,10m,95k,88,200k,62.304,777.111
4,1g,72mb,10m,95k,88,9m,94.995,775.471
4,1g,72mb,10m,132k,14,200k,24.451,558.095
4,1g,72mb,10m,132k,14,9m,23.443,557.830
4,1g,72mb,10m,132k,39,200k,65.386,558.647
4,1g,72mb,10m,132k,39,9m,60.725,558.213
4,1g,72mb,10m,132k,64,200k,99.138,559.295
4,1g,72mb,10m,132k,64,9m,101.124,558.648
4,1g,72mb,10m,132k,88,200k,124.285,559.944
4,1g,72mb,10m,132k,88,9m,123.717,559.361
4,1g,72mb,1g,20k,14,200k,4.429,3156.991
4,1g,72mb,1g,20k,14,9m,4.322,3234.254
4,1g,72mb,1g,20k,39,200k,11.873,3284.002
4,1g,72mb,1g,20k,39,9m,12.214,3112.629
4,1g,72mb,1g,20k,64,200k,20.404,3134.179
4,1g,72mb,1g,20k,64,9m,19.853,3215.297
4,1g,72mb,1g,20k,88,200k,26.871,3270.616
4,1g,72mb,1g,20k,88,9m,27.100,3241.739
4,1g,72mb,1g,58k,14,200k,12.497,1113.788
4,1g,72mb,1g,58k,14,9m,12.157,1138.385
4,1g,72mb,1g,58k,39,200k,31.766,1113.136
4,1g,72mb,1g,58k,39,9m,30.327,1101.165
4,1g,72mb,1g,58k,64,200k,53.281,1055.045
4,1g,72mb,1g,58k,64,9m,50.259,1102.391
4,1g,72mb,1g,58k,88,200k,65.217,1132.409
4,1g,72mb,1g,58k,88,9m,67.268,1125.392
4,1g,72mb,1g,95k,14,200k,18.688,687.670
4,1g,72mb,1g,95k,14,9m,19.995,683.137
4,1g,72mb,1g,95k,39,200k,56.932,675.270
4,1g,72mb,1g,95k,39,9m,53.911,665.027
4,1g,72mb,1g,95k,64,200k,83.342,682.326
4,1g,72mb,1g,95k,64,9m,74.464,691.905
4,1g,72mb,1g,95k,88,200k,102.830,684.519
4,1g,72mb,1g,95k,88,9m,99.163,694.266
4,1g,72mb,1g,132k,14,200k,25.956,501.499
4,1g,72mb,1g,132k,14,9m,27.767,481.901
4,1g,72mb,1g,132k,39,200k,70.984,480.600
4,1g,72mb,1g,132k,39,9m,68.868,492.416
4,1g,72mb,1g,132k,64,200k,90.209,500.266
4,1g,72mb,1g,132k,64,9m,110.617,499.767
4,1g,72mb,1g,132k,88,200k,137.410,502.532
4,1g,72mb,1g,132k,88,9m,145.134,492.316
4,8g,194mb,10m,20k,14,200k,1.577,8867.010
4,8g,194mb,10m,20k,14,9m,1.496,9348.740
4,8g,194mb,10m,20k,39,200k,4.303,9058.487
4,8g,194mb,10m,20k,39,9m,4.064,9584.524
4,8g,194mb,10m,20k,64,200k,7.202,8882.451
4,8g,194mb,10m,20k,64,9m,6.701,9537.518
4,8g,194mb,10m,20k,88,200k,9.436,9319.959
4,8g,194mb,10m,20k,88,9m,9.189,9560.003
4,8g,194mb,10m,58k,14,200k,4.021,3415.743
4,8g,194mb,10m,58k,14,9m,4.022,3414.117
4,8g,194mb,10m,58k,39,200k,11.264,3416.162
4,8g,194mb,10m,58k,39,9m,11.357,3414.032
4,8g,194mb,10m,58k,64,200k,19.140,3342.301
4,8g,194mb,10m,58k,64,9m,18.061,3410.617
4,8g,194mb,10m,58k,88,200k,25.648,3417.275
4,8g,194mb,10m,58k,88,9m,25.642,3410.818
4,8g,194mb,10m,95k,14,200k,6.686,2086.447
4,8g,194mb,10m,95k,14,9m,6.812,2031.085
4,8g,194mb,10m,95k,39,200k,17.831,2043.765
4,8g,194mb,10m,95k,39,9m,18.254,2086.815
4,8g,194mb,10m,95k,64,200k,29.110,2041.399
4,8g,194mb,10m,95k,64,9m,29.880,2040.199
4,8g,194mb,10m,95k,88,200k,39.056,2085.101
4,8g,194mb,10m,95k,88,9m,40.236,2032.185
4,8g,194mb,10m,132k,14,200k,9.199,1501.595
4,8g,194mb,10m,132k,14,9m,9.169,1501.950
4,8g,194mb,10m,132k,39,200k,25.186,1462.396
4,8g,194mb,10m,132k,39,9m,23.909,1501.759
4,8g,194mb,10m,132k,64,200k,66.938,750.098
4,8g,194mb,10m,132k,64,9m,58.139,990.700
4,8g,194mb,10m,132k,88,200k,49.076,1502.762
4,8g,194mb,10m,132k,88,9m,54.324,1500.113
4,8g,194mb,1g,20k,14,200k,2.229,6192.160
4,8g,194mb,1g,20k,14,9m,2.085,6586.045
4,8g,194mb,1g,20k,39,200k,5.981,6377.153
4,8g,194mb,1g,20k,39,9m,5.916,6586.700
4,8g,194mb,1g,20k,64,200k,9.962,6422.359
4,8g,194mb,1g,20k,64,9m,9.780,6536.016
4,8g,194mb,1g,20k,88,200k,13.529,6367.414
4,8g,194mb,1g,20k,88,9m,13.501,6505.633
4,8g,194mb,1g,58k,14,200k,5.923,2279.806
4,8g,194mb,1g,58k,14,9m,5.950,2314.843
4,8g,194mb,1g,58k,39,200k,16.021,2290.658
4,8g,194mb,1g,58k,39,9m,17.057,2275.012
4,8g,194mb,1g,58k,64,200k,24.824,2315.995
4,8g,194mb,1g,58k,64,9m,26.208,2296.825
4,8g,194mb,1g,58k,88,200k,35.226,2281.774
4,8g,194mb,1g,58k,88,9m,35.470,2325.042
4,8g,194mb,1g,95k,14,200k,9.679,1421.760
4,8g,194mb,1g,95k,14,9m,9.324,1422.649
4,8g,194mb,1g,95k,39,200k,26.185,1361.208
4,8g,194mb,1g,95k,39,9m,26.057,1429.383
4,8g,194mb,1g,95k,64,200k,40.111,1418.655
4,8g,194mb,1g,95k,64,9m,41.208,1423.383
4,8g,194mb,1g,95k,88,200k,52.315,1359.907
4,8g,194mb,1g,95k,88,9m,52.368,1408.058
4,8g,194mb,1g,132k,14,200k,13.848,1005.815
4,8g,194mb,1g,132k,14,9m,12.852,1030.962
4,8g,194mb,1g,132k,39,200k,34.775,1015.702
4,8g,194mb,1g,132k,39,9m,35.795,985.050
4,8g,194mb,1g,132k,64,200k,51.028,1041.478
4,8g,194mb,1g,132k,64,9m,55.266,967.450
4,8g,194mb,1g,132k,88,200k,100.478,726.336
4,8g,194mb,1g,132k,88,9m,71.586,1048.209
4,8g,317mb,10m,20k,14,200k,1.524,9177.921
4,8g,317mb,10m,20k,14,9m,1.476,9472.523
4,8g,317mb,10m,20k,39,200k,4.020,9696.192
4,8g,317mb,10m,20k,39,9m,4.015,9697.944
4,8g,317mb,10m,20k,64,200k,6.440,9932.912
4,8g,317mb,10m,20k,64,9m,6.553,9750.310
4,8g,317mb,10m,20k,88,200k,8.836,9953.171
4,8g,317mb,10m,20k,88,9m,8.855,9917.824
4,8g,317mb,10m,58k,14,200k,3.587,3884.342
4,8g,317mb,10m,58k,14,9m,3.646,3805.248
4,8g,317mb,10m,58k,39,200k,10.006,3896.678
4,8g,317mb,10m,58k,39,9m,10.093,3821.925
4,8g,317mb,10m,58k,64,200k,16.387,3901.575
4,8g,317mb,10m,58k,64,9m,16.241,3901.544
4,8g,317mb,10m,58k,88,200k,22.190,3815.744
4,8g,317mb,10m,58k,88,9m,20.930,3927.253
4,8g,317mb,10m,95k,14,200k,5.352,2541.954
4,8g,317mb,10m,95k,14,9m,5.449,2540.964
4,8g,317mb,10m,95k,39,200k,14.820,2544.010
4,8g,317mb,10m,95k,39,9m,14.996,2486.657
4,8g,317mb,10m,95k,64,200k,22.567,2548.351
4,8g,317mb,10m,95k,64,9m,22.886,2547.809
4,8g,317mb,10m,95k,88,200k,28.962,2545.294
4,8g,317mb,10m,95k,88,9m,30.801,2530.744
4,8g,317mb,10m,132k,14,200k,7.417,1846.219
4,8g,317mb,10m,132k,14,9m,7.498,1845.191
4,8g,317mb,10m,132k,39,200k,19.354,1846.529
4,8g,317mb,10m,132k,39,9m,20.020,1846.392
4,8g,317mb,10m,132k,64,200k,31.384,1847.025
4,8g,317mb,10m,132k,64,9m,31.086,1845.413
4,8g,317mb,10m,132k,88,200k,38.437,1846.447
4,8g,317mb,10m,132k,88,9m,42.463,1846.748
4,8g,317mb,1g,20k,14,200k,2.178,6424.945
4,8g,317mb,1g,20k,14,9m,2.170,6447.448
4,8g,317mb,1g,20k,39,200k,5.688,6771.337
4,8g,317mb,1g,20k,39,9m,5.947,6550.991
4,8g,317mb,1g,20k,64,200k,9.526,6696.265
4,8g,317mb,1g,20k,64,9m,9.907,6303.451
4,8g,317mb,1g,20k,88,200k,13.777,6304.946
4,8g,317mb,1g,20k,88,9m,14.035,6259.618
4,8g,317mb,1g,58k,14,200k,5.647,2471.558
4,8g,317mb,1g,58k,14,9m,5.670,2462.828
4,8g,317mb,1g,58k,39,200k,15.642,2408.589
4,8g,317mb,1g,58k,39,9m,14.801,2514.944
4,8g,317mb,1g,58k,64,200k,24.945,2432.378
4,8g,317mb,1g,58k,64,9m,25.610,2285.181
4,8g,317mb,1g,58k,88,200k,31.226,2473.167
4,8g,317mb,1g,58k,88,9m,34.409,2359.414
4,8g,317mb,1g,95k,14,200k,8.855,1526.780
4,8g,317mb,1g,95k,14,9m,9.627,1390.470
4,8g,317mb,1g,95k,39,200k,23.969,1511.849
4,8g,317mb,1g,95k,39,9m,24.053,1500.442
4,8g,317mb,1g,95k,64,200k,38.480,1505.336
4,8g,317mb,1g,95k,64,9m,39.790,1443.493
4,8g,317mb,1g,95k,88,200k,50.083,1525.001
4,8g,317mb,1g,95k,88,9m,51.375,1486.718
4,8g,317mb,1g,132k,14,200k,12.204,1117.171
4,8g,317mb,1g,132k,14,9m,13.005,1060.749
4,8g,317mb,1g,132k,39,200k,32.702,1103.608
4,8g,317mb,1g,132k,39,9m,35.292,1064.827
4,8g,317mb,1g,132k,64,200k,50.766,1091.408
4,8g,317mb,1g,132k,64,9m,50.319,1132.279
4,8g,317mb,1g,132k,88,200k,62.202,1115.260
4,8g,317mb,1g,132k,88,9m,64.563,1114.526
4,8g,439mb,10m,20k,14,200k,1.535,9111.372
4,8g,439mb,10m,20k,14,9m,1.456,9601.202
4,8g,439mb,10m,20k,39,200k,4.017,9702.409
4,8g,439mb,10m,20k,39,9m,3.999,9741.760
4,8g,439mb,10m,20k,64,200k,6.681,9574.603
4,8g,439mb,10m,20k,64,9m,6.429,9938.572
4,8g,439mb,10m,20k,88,200k,9.050,9717.936
4,8g,439mb,10m,20k,88,9m,8.854,9919.698
4,8g,439mb,10m,58k,14,200k,3.626,3812.662
4,8g,439mb,10m,58k,14,9m,3.575,3895.688
4,8g,439mb,10m,58k,39,200k,9.872,3897.840
4,8g,439mb,10m,58k,39,9m,10.181,3817.861
4,8g,439mb,10m,58k,64,200k,16.153,3900.860
4,8g,439mb,10m,58k,64,9m,16.310,3893.903
4,8g,439mb,10m,58k,88,200k,22.304,3905.471
4,8g,439mb,10m,58k,88,9m,23.640,3688.541
4,8g,439mb,10m,95k,14,200k,5.457,2528.537
4,8g,439mb,10m,95k,14,9m,5.417,2533.075
4,8g,439mb,10m,95k,39,200k,15.327,2536.697
4,8g,439mb,10m,95k,39,9m,14.802,2543.046
4,8g,439mb,10m,95k,64,200k,24.249,2489.431
4,8g,439mb,10m,95k,64,9m,22.900,2475.481
4,8g,439mb,10m,95k,88,200k,30.365,2544.714
4,8g,439mb,10m,95k,88,9m,31.285,2473.908
4,8g,439mb,10m,132k,14,200k,7.696,1795.852
4,8g,439mb,10m,132k,14,9m,8.839,1549.513
4,8g,439mb,10m,132k,39,200k,19.141,1851.011
4,8g,439mb,10m,132k,39,9m,19.537,1849.798
4,8g,439mb,10m,132k,64,200k,30.298,1844.991
4,8g,439mb,10m,132k,64,9m,31.035,1839.420
4,8g,439mb,10m,132k,88,200k,40.938,1836.454
4,8g,439mb,10m,132k,88,9m,42.091,1838.415
4,8g,439mb,1g,20k,14,200k,2.166,6458.156
4,8g,439mb,1g,20k,14,9m,2.114,6450.690
4,8g,439mb,1g,20k,39,200k,6.059,6433.415
4,8g,439mb,1g,20k,39,9m,5.971,6524.068
4,8g,439mb,1g,20k,64,200k,10.019,6385.669
4,8g,439mb,1g,20k,64,9m,9.578,6583.938
4,8g,439mb,1g,20k,88,200k,14.000,6283.271
4,8g,439mb,1g,20k,88,9m,13.515,6501.768
4,8g,439mb,1g,58k,14,200k,5.667,2454.843
4,8g,439mb,1g,58k,14,9m,5.970,2312.198
4,8g,439mb,1g,58k,39,200k,15.880,2351.890
4,8g,439mb,1g,58k,39,9m,15.019,2477.157
4,8g,439mb,1g,58k,64,200k,24.771,2397.644
4,8g,439mb,1g,58k,64,9m,23.839,2503.390
4,8g,439mb,1g,58k,88,200k,31.822,2523.268
4,8g,439mb,1g,58k,88,9m,33.035,2368.905
4,8g,439mb,1g,95k,14,200k,8.925,1535.675
4,8g,439mb,1g,95k,14,9m,8.721,1548.699
4,8g,439mb,1g,95k,39,200k,24.351,1499.156
4,8g,439mb,1g,95k,39,9m,23.981,1471.243
4,8g,439mb,1g,95k,64,200k,43.782,1312.080
4,8g,439mb,1g,95k,64,9m,37.262,1512.016
4,8g,439mb,1g,95k,88,200k,48.432,1520.217
4,8g,439mb,1g,95k,88,9m,51.000,1525.370
4,8g,439mb,1g,132k,14,200k,12.413,1101.390
4,8g,439mb,1g,132k,14,9m,12.236,1121.658
4,8g,439mb,1g,132k,39,200k,31.934,1088.945
4,8g,439mb,1g,132k,39,9m,34.366,1073.628
4,8g,439mb,1g,132k,64,200k,55.449,1066.746
4,8g,439mb,1g,132k,64,9m,51.961,1086.429
4,8g,439mb,1g,132k,88,200k,65.627,1082.680
4,8g,439mb,1g,132k,88,9m,77.061,1049.976
4,8g,72mb,10m,20k,14,200k,4.089,3419.096
4,8g,72mb,10m,20k,14,9m,3.873,3608.706
4,8g,72mb,10m,20k,39,200k,10.772,3615.951
4,8g,72mb,10m,20k,39,9m,10.775,3614.892
4,8g,72mb,10m,20k,64,200k,17.366,3680.626
4,8g,72mb,10m,20k,64,9m,17.662,3619.127
4,8g,72mb,10m,20k,88,200k,23.870,3681.515
4,8g,72mb,10m,20k,88,9m,24.264,3616.961
4,8g,72mb,10m,58k,14,200k,10.975,1250.832
4,8g,72mb,10m,58k,14,9m,10.908,1268.354
4,8g,72mb,10m,58k,39,200k,30.327,1269.638
4,8g,72mb,10m,58k,39,9m,28.562,1269.625
4,8g,72mb,10m,58k,64,200k,43.271,1270.058
4,8g,72mb,10m,58k,64,9m,47.486,1270.058
4,8g,72mb,10m,58k,88,200k,60.220,1270.470
4,8g,72mb,10m,58k,88,9m,59.055,1271.061
4,8g,72mb,10m,95k,14,200k,17.532,774.995
4,8g,72mb,10m,95k,14,9m,17.672,775.663
4,8g,72mb,10m,95k,39,200k,40.891,775.380
4,8g,72mb,10m,95k,39,9m,49.096,775.912
4,8g,72mb,10m,95k,64,200k,67.322,775.813
4,8g,72mb,10m,95k,64,9m,75.547,775.797
4,8g,72mb,10m,95k,88,200k,87.503,776.217
4,8g,72mb,10m,95k,88,9m,89.931,776.211
4,8g,72mb,10m,132k,14,200k,24.629,557.827
4,8g,72mb,10m,132k,14,9m,24.544,557.830
4,8g,72mb,10m,132k,39,200k,60.903,558.244
4,8g,72mb,10m,132k,39,9m,60.972,558.244
4,8g,72mb,10m,132k,64,200k,104.724,558.644
4,8g,72mb,10m,132k,64,9m,90.704,552.677
4,8g,72mb,10m,132k,88,200k,141.103,559.045
4,8g,72mb,10m,132k,88,9m,136.308,559.049
4,8g,72mb,1g,20k,14,200k,4.493,3095.113
4,8g,72mb,1g,20k,14,9m,4.233,3301.948
4,8g,72mb,1g,20k,39,200k,12.431,3136.542
4,8g,72mb,1g,20k,39,9m,12.137,3208.891
4,8g,72mb,1g,20k,64,200k,19.609,3263.011
4,8g,72mb,1g,20k,64,9m,20.697,3088.822
4,8g,72mb,1g,20k,88,200k,28.972,3034.039
4,8g,72mb,1g,20k,88,9m,27.262,3222.328
4,8g,72mb,1g,58k,14,200k,12.448,1086.915
4,8g,72mb,1g,58k,14,9m,12.157,1112.571
4,8g,72mb,1g,58k,39,200k,31.204,1110.827
4,8g,72mb,1g,58k,39,9m,34.429,1101.172
4,8g,72mb,1g,58k,64,200k,52.720,1055.080
4,8g,72mb,1g,58k,64,9m,54.550,1103.139
4,8g,72mb,1g,58k,88,200k,73.655,1099.745
4,8g,72mb,1g,58k,88,9m,67.223,1106.502
4,8g,72mb,1g,95k,14,200k,20.269,673.739
4,8g,72mb,1g,95k,14,9m,20.186,673.805
4,8g,72mb,1g,95k,39,200k,52.011,649.039
4,8g,72mb,1g,95k,39,9m,54.183,673.906
4,8g,72mb,1g,95k,64,200k,80.488,663.889
4,8g,72mb,1g,95k,64,9m,76.528,671.822
4,8g,72mb,1g,95k,88,200k,109.400,667.905
4,8g,72mb,1g,95k,88,9m,103.957,652.525
4,8g,72mb,1g,132k,14,200k,29.668,458.168
4,8g,72mb,1g,132k,14,9m,28.651,475.134
4,8g,72mb,1g,132k,39,200k,65.764,493.600
4,8g,72mb,1g,132k,39,9m,63.160,485.652
4,8g,72mb,1g,132k,64,200k,101.668,496.034
4,8g,72mb,1g,132k,64,9m,111.230,482.815
4,8g,72mb,1g,132k,88,200k,149.086,468.535
4,8g,72mb,1g,132k,88,9m,136.997,489.551
