NoOfCpus,Memory,IoRateLimits(mb/sec),FileSize,IoSize,NoOfThreads,ThreadMemory,ResponseTime(msec/op),Throughput(op/sec)
1,1g,72mb,10m,20k,39,9m,10.778,3611.000
1,1g,72mb,10m,20k,64,200k,17.723,3610.127
1,1g,72mb,10m,20k,64,9m,17.327,3681.100
1,1g,72mb,10m,20k,88,200k,24.373,3605.469
1,1g,72mb,10m,20k,88,9m,24.675,3555.864
1,1g,72mb,10m,58k,14,200k,10.420,1269.818
1,1g,72mb,10m,58k,14,9m,10.820,1269.220
1,1g,72mb,10m,58k,39,200k,28.542,1253.086
1,1g,72mb,10m,58k,39,9m,26.855,1269.634
1,1g,72mb,10m,58k,64,200k,41.507,1270.069
1,1g,72mb,10m,58k,64,9m,45.000,1267.917
1,1g,72mb,10m,58k,88,200k,64.352,1270.451
1,1g,72mb,10m,58k,88,9m,60.925,1270.410
1,1g,72mb,10m,95k,14,200k,18.000,774.983
1,1g,72mb,10m,95k,14,9m,17.291,774.982
1,1g,72mb,10m,95k,39,200k,44.818,775.412
1,1g,72mb,10m,95k,39,9m,42.381,764.895
1,1g,72mb,10m,95k,64,200k,70.093,775.834
1,1g,72mb,10m,95k,64,9m,61.197,775.834
1,1g,72mb,10m,95k,88,200k,100.992,776.235
1,1g,72mb,10m,95k,88,9m,96.010,776.595
1,1g,72mb,10m,132k,14,200k,24.936,545.846
1,1g,72mb,10m,132k,14,9m,24.669,558.227
1,1g,72mb,10m,132k,39,200k,65.495,545.797
1,1g,72mb,10m,132k,39,9m,64.542,558.228
1,1g,72mb,10m,132k,64,200k,98.939,559.411
1,1g,72mb,10m,132k,64,9m,94.521,545.763
1,1g,72mb,10m,132k,88,200k,175.858,367.792
1,1g,72mb,10m,132k,88,9m,150.447,453.237
1,1g,72mb,1g,20k,14,200k,4.316,3204.794
1,1g,72mb,1g,20k,14,9m,4.181,3305.541
1,1g,72mb,1g,20k,39,200k,12.307,3167.848
1,1g,72mb,1g,20k,39,9m,12.406,3138.207
1,1g,72mb,1g,20k,64,200k,19.691,3248.914
1,1g,72mb,1g,20k,64,9m,19.568,3262.461
1,1g,72mb,1g,20k,88,200k,27.431,3163.243
1,1g,72mb,1g,20k,88,9m,28.253,3100.846
1,1g,72mb,1g,58k,14,200k,12.036,1114.092
1,1g,72mb,1g,58k,14,9m,11.974,1129.843
1,1g,72mb,1g,58k,39,200k,31.099,1116.153
1,1g,72mb,1g,58k,39,9m,30.930,1134.476
1,1g,72mb,1g,58k,64,200k,50.034,1096.759
1,1g,72mb,1g,58k,64,9m,48.105,1122.128
1,1g,72mb,1g,58k,88,200k,66.467,1089.511
1,1g,72mb,1g,58k,88,9m,71.298,1077.040
1,1g,72mb,1g,95k,14,200k,19.270,691.570
1,1g,72mb,1g,95k,14,9m,19.660,684.004
1,1g,72mb,1g,95k,39,200k,44.484,675.140
1,1g,72mb,1g,95k,39,9m,53.701,680.051
1,1g,72mb,1g,95k,64,200k,69.816,693.538
1,1g,72mb,1g,95k,64,9m,83.285,662.119
1,1g,72mb,1g,95k,88,200k,115.501,640.979
1,1g,72mb,1g,95k,88,9m,104.839,631.863
1,1g,72mb,1g,132k,14,200k,27.089,501.466
1,1g,72mb,1g,132k,14,9m,26.834,504.231
1,1g,72mb,1g,132k,39,200k,66.920,500.644
1,1g,72mb,1g,132k,39,9m,73.722,505.800
1,1g,72mb,1g,132k,64,200k,102.244,498.684
1,1g,72mb,1g,132k,64,9m,125.274,485.131
1,1g,72mb,1g,132k,88,200k,179.858,470.012
1,1g,72mb,1g,132k,88,9m,137.084,499.699
1,8g,194mb,10m,20k,14,200k,1.598,8754.637
1,8g,194mb,10m,20k,14,9m,1.481,9441.310
1,8g,194mb,10m,20k,39,200k,4.071,9575.450
1,8g,194mb,10m,20k,39,9m,4.188,9297.925
1,8g,194mb,10m,20k,64,200k,6.678,9578.809
1,8g,194mb,10m,20k,64,9m,6.874,9284.782
1,8g,194mb,10m,20k,88,200k,9.204,9554.483
1,8g,194mb,10m,20k,88,9m,9.221,9521.280
1,8g,194mb,10m,58k,14,200k,4.071,3416.471
1,8g,194mb,10m,58k,14,9m,4.163,3360.958
1,8g,194mb,10m,58k,39,200k,11.611,3341.178
1,8g,194mb,10m,58k,39,9m,11.256,3417.264
1,8g,194mb,10m,58k,64,200k,18.626,3416.018
1,8g,194mb,10m,58k,64,9m,18.665,3410.271
1,8g,194mb,10m,58k,88,200k,25.572,3352.202
1,8g,194mb,10m,58k,88,9m,26.082,3337.764
1,8g,194mb,10m,95k,14,200k,6.653,2086.395
1,8g,194mb,10m,95k,14,9m,6.760,2045.769
1,8g,194mb,10m,95k,39,200k,17.341,2085.834
1,8g,194mb,10m,95k,39,9m,18.970,2038.918
1,8g,194mb,10m,95k,64,200k,28.051,2087.682
1,8g,194mb,10m,95k,64,9m,26.702,2084.534
1,8g,194mb,10m,95k,88,200k,37.378,2087.707
1,8g,194mb,10m,95k,88,9m,38.840,2038.492
1,8g,194mb,10m,132k,14,200k,8.958,1501.579
1,8g,194mb,10m,132k,14,9m,9.231,1470.021
1,8g,194mb,10m,132k,39,200k,23.944,1502.461
1,8g,194mb,10m,132k,39,9m,25.332,1466.862
1,8g,194mb,10m,132k,64,200k,38.722,1502.334
1,8g,194mb,10m,132k,64,9m,35.268,1469.566
1,8g,194mb,10m,132k,88,200k,51.546,1503.149
1,8g,194mb,10m,132k,88,9m,51.540,1500.745
1,8g,194mb,1g,20k,14,200k,2.151,6409.756
1,8g,194mb,1g,20k,14,9m,2.196,6232.533
1,8g,194mb,1g,20k,39,200k,5.951,6550.199
1,8g,194mb,1g,20k,39,9m,6.169,6313.044
1,8g,194mb,1g,20k,64,200k,9.951,6326.378
1,8g,194mb,1g,20k,64,9m,10.480,6094.368
1,8g,194mb,1g,20k,88,200k,13.903,6317.898
1,8g,194mb,1g,20k,88,9m,14.283,5993.264
1,8g,194mb,1g,58k,14,200k,6.548,2083.488
1,8g,194mb,1g,58k,14,9m,6.120,2273.156
1,8g,194mb,1g,58k,39,200k,17.585,2217.374
1,8g,194mb,1g,58k,39,9m,16.841,2294.683
1,8g,194mb,1g,58k,64,200k,25.893,2308.118
1,8g,194mb,1g,58k,64,9m,26.433,2215.969
1,8g,194mb,1g,58k,88,200k,34.534,2223.740
1,8g,194mb,1g,58k,88,9m,35.424,2282.113
1,8g,194mb,1g,95k,14,200k,9.735,1413.684
1,8g,194mb,1g,95k,14,9m,10.192,1349.444
1,8g,194mb,1g,95k,39,200k,25.914,1407.788
1,8g,194mb,1g,95k,39,9m,27.152,1325.544
1,8g,194mb,1g,95k,64,200k,46.152,1262.814
1,8g,194mb,1g,95k,64,9m,41.814,1403.896
1,8g,194mb,1g,95k,88,200k,52.312,1419.799
1,8g,194mb,1g,95k,88,9m,52.731,1403.772
1,8g,194mb,1g,132k,14,200k,13.202,1035.129
1,8g,194mb,1g,132k,14,9m,13.706,1000.747
1,8g,194mb,1g,132k,39,200k,35.676,1008.422
1,8g,194mb,1g,132k,39,9m,34.229,1042.597
1,8g,194mb,1g,132k,64,200k,53.974,1041.127
1,8g,194mb,1g,132k,64,9m,52.727,979.565
1,8g,194mb,1g,132k,88,200k,69.204,1001.450
1,8g,194mb,1g,132k,88,9m,85.694,781.448
1,8g,317mb,10m,20k,14,200k,1.511,9186.689
1,8g,317mb,10m,20k,14,9m,1.444,9684.482
1,8g,317mb,10m,20k,39,200k,3.995,9755.551
1,8g,317mb,10m,20k,39,9m,4.020,9688.977
1,8g,317mb,10m,20k,64,200k,6.433,9944.354
1,8g,317mb,10m,20k,64,9m,6.446,9891.582
1,8g,317mb,10m,20k,88,200k,8.883,9901.393
1,8g,317mb,10m,20k,88,9m,8.999,9742.007
1,8g,317mb,10m,58k,14,200k,3.609,3849.213
1,8g,317mb,10m,58k,14,9m,3.546,3919.456
1,8g,317mb,10m,58k,39,200k,9.716,3834.440
1,8g,317mb,10m,58k,39,9m,9.737,3840.791
1,8g,317mb,10m,58k,64,200k,15.318,3924.275
1,8g,317mb,10m,58k,64,9m,15.404,3923.001
1,8g,317mb,10m,58k,88,200k,21.581,3761.674
1,8g,317mb,10m,58k,88,9m,21.072,3913.707
1,8g,317mb,10m,95k,14,200k,5.392,2541.903
1,8g,317mb,10m,95k,14,9m,5.350,2542.654
1,8g,317mb,10m,95k,39,200k,14.542,2540.992
1,8g,317mb,10m,95k,39,9m,14.321,2538.915
1,8g,317mb,10m,95k,64,200k,22.567,2543.934
1,8g,317mb,10m,95k,64,9m,23.315,2472.382
1,8g,317mb,10m,95k,88,200k,30.684,2543.704
1,8g,317mb,10m,95k,88,9m,30.644,2537.630
1,8g,317mb,10m,132k,14,200k,7.529,1801.810
1,8g,317mb,10m,132k,14,9m,7.451,1840.739
1,8g,317mb,10m,132k,39,200k,20.121,1839.253
1,8g,317mb,10m,132k,39,9m,19.422,1838.959
1,8g,317mb,10m,132k,64,200k,32.034,1838.483
1,8g,317mb,10m,132k,64,9m,32.519,1837.009
1,8g,317mb,10m,132k,88,200k,39.352,1841.031
1,8g,317mb,10m,132k,88,9m,40.462,1843.281
1,8g,317mb,1g,20k,14,200k,2.197,6366.850
1,8g,317mb,1g,20k,14,9m,2.092,6686.589
1,8g,317mb,1g,20k,39,200k,6.092,6398.836
1,8g,317mb,1g,20k,39,9m,6.063,6425.362
1,8g,317mb,1g,20k,64,200k,9.417,6762.111
1,8g,317mb,1g,20k,64,9m,9.766,6534.381
1,8g,317mb,1g,20k,88,200k,13.801,6192.974
1,8g,317mb,1g,20k,88,9m,12.998,6748.446
1,8g,317mb,1g,58k,14,200k,5.859,2363.676
1,8g,317mb,1g,58k,14,9m,6.368,2163.843
1,8g,317mb,1g,58k,39,200k,14.910,2508.335
1,8g,317mb,1g,58k,39,9m,15.415,2414.567
1,8g,317mb,1g,58k,64,200k,25.493,2324.095
1,8g,317mb,1g,58k,64,9m,25.922,2357.947
1,8g,317mb,1g,58k,88,200k,36.316,2279.771
1,8g,317mb,1g,58k,88,9m,34.381,2243.254
1,8g,317mb,1g,95k,14,200k,9.298,1451.621
1,8g,317mb,1g,95k,14,9m,9.518,1435.702
1,8g,317mb,1g,95k,39,200k,26.231,1366.624
1,8g,317mb,1g,95k,39,9m,26.960,1385.907
1,8g,317mb,1g,95k,64,200k,39.550,1435.646
1,8g,317mb,1g,95k,64,9m,39.460,1428.202
1,8g,317mb,1g,95k,88,200k,52.082,1411.790
1,8g,317mb,1g,95k,88,9m,52.240,1380.674
1,8g,317mb,1g,132k,14,200k,12.581,1096.594
1,8g,317mb,1g,132k,14,9m,12.006,1090.494
1,8g,317mb,1g,132k,39,200k,33.805,1026.217
1,8g,317mb,1g,132k,39,9m,33.246,1075.815
1,8g,317mb,1g,132k,64,200k,63.316,923.321
1,8g,317mb,1g,132k,64,9m,50.091,1066.492
1,8g,317mb,1g,132k,88,200k,68.391,1070.627
1,8g,317mb,1g,132k,88,9m,70.530,1091.925
1,8g,439mb,10m,20k,14,200k,1.562,8953.746
1,8g,439mb,10m,20k,14,9m,1.439,9718.885
1,8g,439mb,10m,20k,39,200k,4.019,9697.314
1,8g,439mb,10m,20k,39,9m,4.022,9679.517
1,8g,439mb,10m,20k,64,200k,6.563,9747.305
1,8g,439mb,10m,20k,64,9m,6.443,9901.086
1,8g,439mb,10m,20k,88,200k,9.077,9598.776
1,8g,439mb,10m,20k,88,9m,9.094,9640.978
1,8g,439mb,10m,58k,14,200k,3.587,3891.529
1,8g,439mb,10m,58k,14,9m,3.663,3799.035
1,8g,439mb,10m,58k,39,200k,9.982,3895.600
1,8g,439mb,10m,58k,39,9m,9.768,3890.577
1,8g,439mb,10m,58k,64,200k,15.633,3839.643
1,8g,439mb,10m,58k,64,9m,15.476,3915.028
1,8g,439mb,10m,58k,88,200k,20.525,3925.447
1,8g,439mb,10m,58k,88,9m,21.264,3811.632
1,8g,439mb,10m,95k,14,200k,5.450,2542.966
1,8g,439mb,10m,95k,14,9m,5.392,2541.901
1,8g,439mb,10m,95k,39,200k,14.657,2477.464
1,8g,439mb,10m,95k,39,9m,14.632,2544.012
1,8g,439mb,10m,95k,64,200k,22.404,2541.638
1,8g,439mb,10m,95k,64,9m,23.159,2537.289
1,8g,439mb,10m,95k,88,200k,30.215,2544.543
1,8g,439mb,10m,95k,88,9m,31.050,2466.687
1,8g,439mb,10m,132k,14,200k,7.509,1845.739
1,8g,439mb,10m,132k,14,9m,7.898,1754.122
1,8g,439mb,10m,132k,39,200k,19.211,1842.326
1,8g,439mb,10m,132k,39,9m,20.108,1830.068
1,8g,439mb,10m,132k,64,200k,30.709,1846.531
1,8g,439mb,10m,132k,64,9m,31.538,1842.806
1,8g,439mb,10m,132k,88,200k,39.007,1846.762
1,8g,439mb,10m,132k,88,9m,41.744,1842.566
1,8g,439mb,1g,20k,14,200k,2.241,6242.714
1,8g,439mb,1g,20k,14,9m,2.096,6674.141
1,8g,439mb,1g,20k,39,200k,5.747,6781.792
1,8g,439mb,1g,20k,39,9m,5.971,6524.024
1,8g,439mb,1g,20k,64,200k,9.537,6708.035
1,8g,439mb,1g,20k,64,9m,10.871,5870.967
1,8g,439mb,1g,20k,88,200k,13.749,6397.932
1,8g,439mb,1g,20k,88,9m,13.633,6435.768
1,8g,439mb,1g,58k,14,200k,5.908,2368.770
1,8g,439mb,1g,58k,14,9m,5.983,2282.095
1,8g,439mb,1g,58k,39,200k,23.556,1563.144
1,8g,439mb,1g,58k,39,9m,15.530,2437.225
1,8g,439mb,1g,58k,64,200k,23.863,2464.488
1,8g,439mb,1g,58k,64,9m,24.109,2476.301
1,8g,439mb,1g,58k,88,200k,32.205,2481.791
1,8g,439mb,1g,58k,88,9m,32.935,2372.758
1,8g,439mb,1g,95k,14,200k,8.895,1515.352
1,8g,439mb,1g,95k,14,9m,8.939,1525.668
1,8g,439mb,1g,95k,39,200k,24.605,1479.239
1,8g,439mb,1g,95k,39,9m,25.012,1444.618
1,8g,439mb,1g,95k,64,200k,38.246,1437.517
1,8g,439mb,1g,95k,64,9m,43.187,1310.514
1,8g,439mb,1g,95k,88,200k,50.159,1518.729
1,8g,439mb,1g,95k,88,9m,51.517,1443.868
1,8g,439mb,1g,132k,14,200k,11.712,1163.738
1,8g,439mb,1g,132k,14,9m,11.673,1169.684
1,8g,439mb,1g,132k,39,200k,31.512,1111.209
1,8g,439mb,1g,132k,39,9m,32.788,1064.345
1,8g,439mb,1g,132k,64,200k,47.762,1078.828
1,8g,439mb,1g,132k,64,9m,51.824,1063.814
1,8g,439mb,1g,132k,88,200k,80.890,952.219
1,8g,439mb,1g,132k,88,9m,72.548,989.532
1,8g,72mb,10m,20k,14,200k,4.015,3485.735
1,8g,72mb,10m,20k,14,9m,3.872,3610.446
1,8g,72mb,10m,20k,39,200k,10.584,3680.244
1,8g,72mb,10m,20k,39,9m,10.775,3614.802
1,8g,72mb,10m,20k,64,200k,17.362,3681.333
1,8g,72mb,10m,20k,64,9m,17.599,3627.832
1,8g,72mb,10m,20k,88,200k,23.874,3680.764
1,8g,72mb,10m,20k,88,9m,23.830,3678.121
1,8g,72mb,10m,58k,14,200k,10.883,1269.238
1,8g,72mb,10m,58k,14,9m,10.979,1248.269
1,8g,72mb,10m,58k,39,200k,26.855,1269.644
1,8g,72mb,10m,58k,39,9m,29.271,1270.785
1,8g,72mb,10m,58k,64,200k,44.567,1248.083
1,8g,72mb,10m,58k,64,9m,46.151,1270.051
1,8g,72mb,10m,58k,88,200k,61.084,1270.449
1,8g,72mb,10m,58k,88,9m,56.011,1270.451
1,8g,72mb,10m,95k,14,200k,17.191,775.000
1,8g,72mb,10m,95k,14,9m,16.953,774.980
1,8g,72mb,10m,95k,39,200k,41.517,775.416
1,8g,72mb,10m,95k,39,9m,45.363,762.034
1,8g,72mb,10m,95k,64,200k,71.295,775.815
1,8g,72mb,10m,95k,64,9m,62.740,775.812
1,8g,72mb,10m,95k,88,200k,84.821,776.214
1,8g,72mb,10m,95k,88,9m,98.272,775.031
1,8g,72mb,10m,132k,14,200k,24.005,557.811
1,8g,72mb,10m,132k,14,9m,24.150,549.012
1,8g,72mb,10m,132k,39,200k,66.039,558.230
1,8g,72mb,10m,132k,39,9m,62.830,558.244
1,8g,72mb,10m,132k,64,200k,100.699,558.662
1,8g,72mb,10m,132k,64,9m,94.301,559.045
1,8g,72mb,10m,132k,88,200k,122.815,559.796
1,8g,72mb,10m,132k,88,9m,139.225,552.564
1,8g,72mb,1g,20k,14,200k,4.476,3124.255
1,8g,72mb,1g,20k,14,9m,4.282,3264.063
1,8g,72mb,1g,20k,39,200k,12.643,3083.026
1,8g,72mb,1g,20k,39,9m,12.349,3154.531
1,8g,72mb,1g,20k,64,200k,20.558,3112.208
1,8g,72mb,1g,20k,64,9m,20.244,3101.053
1,8g,72mb,1g,20k,88,200k,27.965,3123.445
1,8g,72mb,1g,20k,88,9m,26.860,3268.704
1,8g,72mb,1g,58k,14,200k,12.899,1080.025
1,8g,72mb,1g,58k,14,9m,12.424,1119.853
1,8g,72mb,1g,58k,39,200k,32.214,1119.014
1,8g,72mb,1g,58k,39,9m,32.694,1105.443
1,8g,72mb,1g,58k,64,200k,49.383,1103.338
1,8g,72mb,1g,58k,64,9m,50.051,1065.540
1,8g,72mb,1g,58k,88,200k,55.805,1126.437
1,8g,72mb,1g,58k,88,9m,67.982,1127.561
1,8g,72mb,1g,95k,14,200k,19.444,686.605
1,8g,72mb,1g,95k,14,9m,19.800,687.520
1,8g,72mb,1g,95k,39,200k,49.455,688.003
1,8g,72mb,1g,95k,39,9m,53.821,666.903
1,8g,72mb,1g,95k,64,200k,77.399,661.956
1,8g,72mb,1g,95k,64,9m,83.826,693.452
1,8g,72mb,1g,95k,88,200k,102.500,694.284
1,8g,72mb,1g,95k,88,9m,97.177,677.355
1,8g,72mb,1g,132k,14,200k,28.297,477.651
1,8g,72mb,1g,132k,14,9m,27.243,489.916
1,8g,72mb,1g,132k,39,200k,72.512,484.250
1,8g,72mb,1g,132k,39,9m,65.626,482.982
1,8g,72mb,1g,132k,64,200k,107.315,499.482
1,8g,72mb,1g,132k,64,9m,101.754,504.314
1,8g,72mb,1g,132k,88,200k,140.308,483.217
1,8g,72mb,1g,132k,88,9m,144.920,501.248

