NoOfCpus,Memory,IoRateLimits(mb/sec),FileSize,IoSize,NoOfThreads,ThreadMemory,ResponseTime(msec/op),Throughput(op/sec)
4,1g,500mb,1g,150k,100,200k,83.212,921.755
4,1g,500mb,1g,150k,100,9m,86.250,899.198
4,8g,10mb,10m,1k,1,200k,0.101,9768.663
4,8g,10mb,10m,1k,1,9m,0.097,10173.338
4,8g,10mb,10m,1k,100,200k,9.913,10070.138
4,8g,10mb,10m,1k,100,9m,9.865,10109.311
4,8g,10mb,10m,150k,1,200k,14.936,66.862
4,8g,10mb,10m,150k,1,9m,14.623,68.278
4,8g,10mb,10m,150k,100,200k,959.405,69.911
4,8g,10mb,10m,150k,100,9m,793.679,69.928
4,8g,10mb,1g,1k,1,200k,0.121,8182.392
4,8g,10mb,1g,1k,1,9m,0.100,9846.400
4,8g,10mb,1g,1k,100,200k,10.763,9285.712
4,8g,10mb,1g,1k,100,9m,10.590,9420.100
4,8g,10mb,1g,150k,1,200k,14.623,68.278
4,8g,10mb,1g,150k,1,9m,14.623,68.277
4,8g,10mb,1g,150k,100,200k,1023.381,69.828
4,8g,10mb,1g,150k,100,9m,984.029,69.927
4,8g,500mb,10m,1k,1,200k,0.026,36175.227
4,8g,500mb,10m,1k,1,9m,0.026,36807.525
4,8g,500mb,10m,1k,100,200k,2.845,35101.002
4,8g,500mb,10m,1k,100,9m,2.909,34284.474
4,8g,500mb,10m,150k,1,200k,0.597,1670.718
4,8g,500mb,10m,150k,1,9m,0.595,1675.979
4,8g,500mb,10m,150k,100,200k,53.172,1640.742
4,8g,500mb,10m,150k,100,9m,51.350,1596.985
4,8g,500mb,1g,1k,1,200k,0.043,22499.221
4,8g,500mb,1g,1k,1,9m,0.039,24697.168
4,8g,500mb,1g,1k,100,200k,4.255,23479.693
4,8g,500mb,1g,1k,100,9m,4.252,22919.379
4,8g,500mb,1g,150k,1,200k,1.007,990.536
4,8g,500mb,1g,150k,1,9m,0.984,994.225
4,8g,500mb,1g,150k,100,200k,77.811,1021.087
4,8g,500mb,1g,150k,100,9m,73.542,1027.570
